episode,reward,total_burned,epsilon,steps,q_table_size
1,-387.0,433,0.995,28,16
2,-428.0,474,0.99,35,29
3,-438.0,482,0.9851,25,43
4,-377.0,433,0.9801,30,52
5,-233.0,279,0.9752,32,68
6,-391.0,443,0.9704,28,82
7,-420.0,484,0.9655,28,93
8,-363.0,417,0.9607,29,108
9,-378.0,432,0.9559,24,115
10,-391.0,439,0.9511,30,125
11,-394.0,452,0.9464,25,133
12,-374.0,424,0.9416,43,142
13,-362.0,418,0.9369,31,150
14,-468.0,514,0.9322,31,155
15,1.0,5,0.9276,3,155
16,-417.0,457,0.9229,30,168
17,-457.0,513,0.9183,39,178
18,-242.0,296,0.9137,26,193
19,-365.0,421,0.9092,28,199
20,-415.0,469,0.9046,24,203
21,-382.0,450,0.9001,30,213
22,-411.0,463,0.8956,23,217
23,-295.0,347,0.8911,32,225
24,-417.0,463,0.8867,28,228
25,-414.0,472,0.8822,28,236
26,3.0,3,0.8778,3,236
27,-362.0,396,0.8734,26,242
28,-381.0,423,0.8691,26,245
29,2.0,2,0.8647,2,245
30,-429.0,481,0.8604,26,248
31,-342.0,380,0.8561,32,253
32,-422.0,480,0.8518,27,260
33,-343.0,387,0.8475,21,266
34,-446.0,488,0.8433,26,275
35,-430.0,490,0.8391,23,281
36,-380.0,436,0.8349,29,289
37,-212.0,246,0.8307,21,295
38,-374.0,414,0.8266,28,299
39,-419.0,465,0.8224,27,303
40,-427.0,467,0.8183,26,313
41,-362.0,412,0.8142,22,315
42,3.0,1,0.8102,2,315
43,2.0,2,0.8061,2,315
44,-390.0,440,0.8021,26,317
45,-235.0,265,0.7981,26,330
46,-327.0,373,0.7941,30,338
47,-298.0,358,0.7901,29,345
48,-360.0,412,0.7862,30,352
49,-404.0,456,0.7822,27,356
50,-124.0,144,0.7783,24,361
51,2.0,2,0.7744,2,361
52,-418.0,470,0.7705,24,367
53,-277.0,307,0.7667,25,376
54,-404.0,462,0.7629,21,380
