episode,reward,total_burned,epsilon,steps,q_table_size
178,-420.0,468,0.1671,21,769
179,-378.0,426,0.1655,22,770
180,-341.0,397,0.1638,22,771
181,-364.0,424,0.1622,24,774
182,-349.0,397,0.1605,25,775
183,-302.0,360,0.1589,24,778
184,-274.0,322,0.1574,20,782
185,-383.0,437,0.1558,24,783
186,-357.0,407,0.1542,24,784
187,-373.0,437,0.1527,26,786
188,-355.0,399,0.1512,22,786
189,-287.0,337,0.1496,26,791
190,-404.0,470,0.1481,22,791
191,-375.0,423,0.1467,22,791
192,-396.0,446,0.1452,21,792
193,-401.0,451,0.1437,20,795
194,-358.0,412,0.1423,21,797
195,-317.0,387,0.1409,23,797
196,-417.0,469,0.1395,24,797
197,-312.0,370,0.1381,22,798
198,-259.0,305,0.1367,19,802
199,-199.0,223,0.1353,17,808
200,-435.0,481,0.134,21,810
201,-433.0,485,0.1326,24,810
202,-265.0,323,0.1313,31,817
203,-329.0,393,0.13,32,822
204,-394.0,444,0.1287,22,823
205,-450.0,498,0.1274,22,823
206,-350.0,396,0.1261,24,826
207,-389.0,445,0.1249,24,828
208,-380.0,422,0.1236,23,828
209,-302.0,354,0.1224,24,830
210,-349.0,393,0.1212,20,832
211,-335.0,389,0.12,24,836
212,-235.0,279,0.1188,20,841
213,-299.0,343,0.1176,21,842
214,-395.0,445,0.1164,20,843
215,-306.0,350,0.1152,21,843
216,-322.0,370,0.1141,18,843
217,-233.0,273,0.1129,24,850
218,-409.0,451,0.1118,22,851
219,-118.0,158,0.1107,23,855
220,-342.0,384,0.1096,20,858
221,-371.0,429,0.1085,23,858
222,-326.0,382,0.1074,22,861
223,-334.0,384,0.1063,28,870
224,-326.0,380,0.1053,21,870
225,-337.0,381,0.1042,20,873
226,-374.0,422,0.1032,23,877
227,-312.0,360,0.1021,21,879
228,-307.0,359,0.1011,23,881
229,-284.0,334,0.1001,23,883
230,-446.0,486,0.0991,21,884
231,-440.0,488,0.0981,23,884
232,-322.0,382,0.0971,27,887
233,-302.0,350,0.0962,19,888
234,-391.0,439,0.0952,24,890
235,-379.0,433,0.0942,21,891
236,-407.0,455,0.0933,21,892
237,-432.0,476,0.0924,20,893
238,-411.0,467,0.0914,21,895
239,-405.0,455,0.0905,27,895
240,-333.0,393,0.0896,23,896
241,-419.0,467,0.0887,21,897
242,-375.0,435,0.0878,23,900
243,-237.0,297,0.087,30,903
244,-362.0,416,0.0861,26,904
245,-291.0,341,0.0852,22,910
246,-329.0,383,0.0844,19,910
247,-358.0,408,0.0835,22,914
248,-365.0,419,0.0827,25,914
249,-266.0,320,0.0819,20,919
250,-344.0,404,0.0811,23,919
251,-336.0,392,0.0802,24,921
252,-402.0,454,0.0794,24,922
253,-491.0,539,0.0787,21,922
254,-365.0,417,0.0779,24,922
255,-328.0,376,0.0771,21,923
256,-403.0,451,0.0763,22,925
257,-373.0,437,0.0756,24,925
