episode,reward,total_burned,epsilon,steps,q_table_size
772,-175.0,201,0.03,18,1509
773,-334.0,378,0.03,19,1509
774,-435.0,497,0.03,25,1509
775,-315.0,375,0.03,20,1509
776,-371.0,437,0.03,22,1510
777,-464.0,508,0.03,21,1510
778,-331.0,381,0.03,25,1512
779,-405.0,459,0.03,22,1512
780,-268.0,320,0.03,21,1516
781,-394.0,450,0.03,22,1516
782,-339.0,397,0.03,25,1517
783,-424.0,482,0.03,23,1518
784,-412.0,460,0.03,18,1518
785,-399.0,459,0.03,21,1518
786,-342.0,386,0.03,20,1518
787,-240.0,290,0.03,20,1518
788,-362.0,410,0.03,19,1518
789,-398.0,454,0.03,19,1518
790,-280.0,344,0.03,23,1518
791,-346.0,410,0.03,25,1519
792,-266.0,306,0.03,23,1524
793,-460.0,508,0.03,21,1524
794,-258.0,320,0.03,23,1524
795,-356.0,428,0.03,25,1524
796,-345.0,393,0.03,25,1525
797,-314.0,366,0.03,25,1528
798,-316.0,362,0.03,20,1528
799,-365.0,409,0.03,19,1529
800,-373.0,429,0.03,22,1529
